name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,86,228639,False,,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,51ZQ1vr10ffzbwIjDCwqm4,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,4
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,2023-07-28,89,191700,True,https://p.scdn.co/mp3-preview/4b0178cf6991f59db18e12e2219ff11e27474b0a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,42VsgItocQwOQC3XWZ8JNA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,2017-07-21,89,180386,True,https://p.scdn.co/mp3-preview/c703198293891e3b276800ea6b187cf7951d3d7d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4
NEL,Fuerza Regida,PERO NO TE ENAMORES,2024-07-25,88,149073,True,https://p.scdn.co/mp3-preview/9cd09c0e882d87c65d768143d6cfe9465cc56d1d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5AH31dDNgxCMGDdxubNNn4,5AH31dDNgxCMGDdxubNNn4,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,4
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),2024-10-17,81,130880,True,https://p.scdn.co/mp3-preview/d23d04bb3e02687f0ae82c502f4b8570e1ad944b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0qeIFEGRQqHoaJtLCl0U73,0qeIFEGRQqHoaJtLCl0U73,0.744,0.709,6,-5.778,0,0.284,0.0501,0.0,0.0847,0.712,194.055,4
Barbie,"MC Tuto, DJ Glenner",Barbie,2024-10-18,84,192755,False,https://p.scdn.co/mp3-preview/636d711a130846595f5e28d3358606058a584624?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6s1kzj4EbhFLXbuAGJbhbn,6s1kzj4EbhFLXbuAGJbhbn,0.955,0.425,3,-8.242,0,0.43,0.711,0.0,0.101,0.716,127.032,4
Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",Presidente,2024-10-21,83,181064,True,https://p.scdn.co/mp3-preview/b0f36c2ef04c7f67feea1e01b29ff467a428a5ad?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4OLT65TRsOx3Iv1TlCcQVb,4OLT65TRsOx3Iv1TlCcQVb,0.732,0.827,11,-4.152,1,0.0585,0.123,0.0,0.117,0.584,105.145,1
São Paulo (feat. Anitta),"The Weeknd, Anitta",São Paulo,2024-10-31,84,301623,True,,https://open.spotify.com/track/0xGQTpN4ESETtl1Sp6rzd2,0xGQTpN4ESETtl1Sp6rzd2,0.574,0.659,5,-7.377,0,0.0768,0.0412,0.0002,0.0921,0.506,127.347,4
Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,2023-07-07,66,265960,False,https://p.scdn.co/mp3-preview/291b50b25994238d04761b50f08252f37c27c22c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i,06qMRF18gwbOYYbnP2du6i,0.733,0.598,2,-8.228,1,0.0278,0.212,3.71e-06,0.156,0.935,107.732,4
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,88,137773,False,https://p.scdn.co/mp3-preview/2f90c9a6a2b6e38554d3bc3cf7512c2c70ac67b9?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
Gata Only,"FloyyMenor, Cris Mj",Gata Only,2024-02-02,87,222000,True,https://p.scdn.co/mp3-preview/12ae7f061a9da14a7c1e6a3e21de68365697efe8?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6,6XjDF6nds4DE2BBbagZol6,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,4
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,89,184841,False,,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,4
Love Me Again,V,Layover,2023-08-11,86,182293,False,https://p.scdn.co/mp3-preview/7cf9f9fce7c6ea14a19134d84a3034fef7067f0a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2N0SPREDYqILVEFSsWF5N5,2N0SPREDYqILVEFSsWF5N5,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4
