name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Me, Myself & You",Perrie,"Me, Myself & You",2024-11-08,46,155957,False,https://p.scdn.co/mp3-preview/69937cb204d74e02356c36852c2edb52279bea42?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4dsgZlMA69Hb2VppaZyfSN,4dsgZlMA69Hb2VppaZyfSN,0.455,0.287,9,-7.49,1,0.0326,0.872,0.0,0.106,0.375,122.675,4
Where's The Daddy?,"Major Lazer, M.I.A.",Where's The Daddy?,2024-11-07,44,172859,False,https://p.scdn.co/mp3-preview/864d4397966c46a6347d7d22dc02f4b10881999b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6qhCrOuJSKn2yqXuRyPIPL,6qhCrOuJSKn2yqXuRyPIPL,0.71,0.822,11,-7.181,0,0.344,0.0182,0.0,0.351,0.389,167.956,4
SET IT ON FIRE,ANOTR,SET IT ON FIRE,2024-11-08,40,229867,False,https://p.scdn.co/mp3-preview/f09df1de0498b11ecbf0d5f802f96d1373b8095b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6Pc5eHdzmnruL7zPsRp5UE,6Pc5eHdzmnruL7zPsRp5UE,0.774,0.717,5,-6.378,0,0.0306,0.33,0.768,0.189,0.797,122.005,4
Splash 2 Back 2 (feat. Peso Peso),"Stunna 4 Vegas, Peso Peso",4 EVER DELUXE,2024-11-08,26,175750,True,https://p.scdn.co/mp3-preview/547ad1c8c9c560939c50e2059b9ee55b6117a3de?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4p6g70zhYUvTnnA3cgShNn,4p6g70zhYUvTnnA3cgShNn,0.711,0.642,9,-10.22,1,0.285,0.0234,0.0,0.0984,0.358,155.176,4
A** On Da Bus (feat. DaBaby),"Hitkidd, DaBaby",Hitkidd For President,2024-11-08,0,142545,True,https://p.scdn.co/mp3-preview/bfb3ddddf8cf4684fd2e5c5b72c928082a9a89ec?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3YLO6EOMIAydQ0RvvvLQod,3YLO6EOMIAydQ0RvvvLQod,0.757,0.632,10,-3.5,0,0.113,0.00055,0.0156,0.332,0.444,164.912,4
Sucker (from the series Arcane League of Legends),Marcus King,Sucker (from the series Arcane League of Legends),2024-11-08,40,224293,True,https://p.scdn.co/mp3-preview/a077fd6bf217ccdea3379f9c4478663c3f67c4c2?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/46RocVhn0MLyzLW2bmzPEQ,46RocVhn0MLyzLW2bmzPEQ,0.479,0.751,8,-5.794,0,0.058,0.0192,1.89e-05,0.111,0.568,148.0,4
Snakebite,Brent Cobb,Snakebite,2024-11-08,39,228796,False,https://p.scdn.co/mp3-preview/a4f82cd415fa58262089d391ed4f2ccec41f283e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3DmVV5vWnmswl6ZBNVWzbs,3DmVV5vWnmswl6ZBNVWzbs,0.702,0.13,5,-12.199,1,0.0344,0.828,1.76e-05,0.116,0.448,123.923,4
matter,philine,the side-effects of living in a fantasy,2024-11-08,30,185480,False,https://p.scdn.co/mp3-preview/a99448283e77c665514198ecf86618319a6827ff?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4iDxcTqrjvAZVzJQp6Vhov,4iDxcTqrjvAZVzJQp6Vhov,0.506,0.521,3,-6.788,1,0.0275,0.0923,7.36e-05,0.108,0.385,85.036,4
Boy For a Day,Kylie Cantrall,Boy For a Day,2024-11-07,45,152190,False,https://p.scdn.co/mp3-preview/cabd14e2d0028baa34388aeda2f0458113535e5c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2xlN0ChAwQrNKQD3KSGBPl,2xlN0ChAwQrNKQD3KSGBPl,0.785,0.755,4,-5.277,0,0.0672,0.139,0.000406,0.123,0.694,92.004,4
Shitty Heaven,Ally Evenson,Shitty Heaven,2024-11-07,27,171776,True,https://p.scdn.co/mp3-preview/5c8606731f463f41e3c2d1ae03ea8c5d8e88cc3d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6XLyiEUFbJ5fgAkZ1lPtCU,6XLyiEUFbJ5fgAkZ1lPtCU,0.374,0.334,10,-8.109,1,0.0363,0.137,4.14e-06,0.296,0.118,83.896,4
